DriverId,DriverName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
830,Max Verstappen,"10,5,7,2,1,6,11,1,5,15,4,2,4,3,4,5,5,8,11,12,7,10,17,8,3,9,3,5,9,2,2,9,4,1,8,2,",1,17,3,5,9,6,3.872983346207417
831,Felipe Nasr,"5,15,12,12,14,12,15,9,16,18,15,11,17,11,17,13,8,20,13,9,19,15,11,13,",5,20,11,13,16,13,3.4641016151377544
832,Carlos Sainz,"9,9,8,8,11,9,6,7,10,8,6,12,9,8,14,8,7,10,11,15,14,13,9,7,6,11,10,17,13,16,8,",6,17,8,9,11,9,3.0
833,Roberto Merhi,"15,17,18,16,12,15,15,16,16,14,",12,18,15,16,16,15,1.4142135623730951
834,Alexander Rossi,"18,18,15,",15,18,15,18,15,17,1.4142135623730951
835,Jolyon Palmer,"11,10,15,13,13,15,11,11,19,12,12,15,13,22,13,12,12,14,12,11,",10,22,12,13,15,13,2.8284271247461903
836,Pascal Wehrlein,"16,15,17,13,11,16,8,14,17,15,17,17,19,15,16,18,15,14,22,15,14,10,14,",8,22,14,15,16,15,2.8284271247461903
837,Rio Haryanto,"17,17,15,19,20,21,21,16,",15,21,17,19,21,18,2.0
838,Stoffel Vandoorne,"13,7,10,14,11,10,14,14,12,12,",7,14,10,12,13,11,2.2360679774997898
839,Esteban Ocon,"10,16,10,10,5,12,6,8,9,16,9,18,6,10,12,21,6,21,5,8,",5,21,8,10,16,10,4.8989794855663558
840,Lance Stroll,"8,16,15,9,16,14,11,7,16,6,10,",6,16,8,11,14,11,3.7416573867739413
841,Antonio Giovinazzi,"12,",12,12,12,12,12,12,0.0
842,Pierre Gasly,"14,12,13,13,",12,14,13,13,14,13,0.0
