raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
20,2,2,2,5,6,4,4,4,0,
20,5,1,1,4,5,5,5,5,1,
20,8,6,4,8,4,2,2,2,1,
20,1,1,19,0,3,13,13,13,-6,
20,13,6,3,10,2,1,1,1,1,
20,9,2,5,6,1,3,3,3,-1,
21,11,8,17,0,22,13,13,13,2,
21,19,8,20,0,21,,18,R,2,
21,16,10,,0,20,,21,R,-999,
21,21,10,14,0,19,10,10,10,4,
21,20,5,,0,18,,22,R,-999,
21,14,9,11,0,17,12,12,12,1,
21,7,5,19,0,16,,19,R,-2,
21,3,3,13,0,15,,14,R,4,
21,10,7,12,0,14,11,11,11,-3,
21,18,11,5,3,13,6,6,6,0,
21,6,3,15,2,12,7,7,7,-2,
21,22,11,16,0,11,,16,R,-1,
21,12,4,18,0,10,,20,R,0,
21,2,2,7,0,9,9,9,9,2,
21,15,7,10,1,8,8,8,8,-1,
21,17,9,8,4,7,5,5,5,-1,
21,5,1,6,0,6,,17,R,0,
21,1,1,3,6,5,3,3,3,1,
21,9,2,4,5,4,4,4,4,-1,
21,13,6,2,8,3,2,2,2,1,
21,4,4,9,0,2,,15,R,-1,
21,8,6,1,10,1,1,1,1,0,
23,21,10,18,0,20,,18,R,2,
23,20,5,7,4,19,5,5,5,2,
23,16,10,16,0,18,,15,R,2,
23,12,4,17,0,17,,17,R,2,
23,7,5,19,0,16,,20,R,2,
23,14,9,20,0,15,,19,R,3,
23,22,11,9,3,14,6,6,6,1,
23,6,3,13,2,13,7,7,7,3,
23,2,2,14,0,12,14,14,14,3,
23,18,11,10,0,11,11,11,11,-9,
23,10,7,11,0,10,12,12,12,2,
23,17,9,8,5,9,4,4,4,-2,
23,15,7,12,0,8,13,13,13,1,
23,4,4,3,0,7,10,10,10,2,
23,3,3,15,0,6,,16,R,0,
23,9,2,5,8,5,2,2,2,1,
23,5,1,2,1,4,8,8,8,-15,
23,1,1,6,10,3,1,1,1,1,
23,8,6,1,0,2,9,9,9,-1,
23,13,6,4,6,1,3,3,3,0,
24,18,11,19,0,20,11,11,11,0,
24,20,5,12,1,19,8,8,8,0,
24,7,5,13,0,18,13,13,13,0,
24,21,10,16,0,17,,14,R,0,
24,16,10,20,0,16,,20,R,0,
24,12,4,18,0,15,,17,R,0,
24,15,7,15,3,14,6,6,6,1,
24,14,9,7,6,13,3,3,3,1,
24,6,3,14,0,12,,15,R,2,
24,10,7,17,5,11,4,4,4,-3,
24,17,9,8,0,10,12,12,12,-1,
24,22,11,10,2,9,7,7,7,1,
24,2,2,2,8,8,2,2,2,-1,
24,5,1,11,0,7,9,9,9,0,
24,13,6,6,4,6,5,5,5,0,
24,3,3,5,0,5,10,10,10,1,
24,4,4,9,0,4,,16,R,-1,
24,8,6,1,0,3,,18,R,0,
24,9,2,4,10,2,1,1,1,0,
24,1,1,3,0,1,,19,R,0,
25,22,11,14,0,20,14,14,14,2,
25,3,3,17,0,19,16,16,16,0,
25,16,10,18,0,18,19,19,19,1,
25,21,10,19,0,17,18,18,18,1,
25,18,11,20,0,16,,20,R,-4,
25,6,3,15,0,15,15,15,15,1,
25,7,5,16,0,14,17,17,17,-1,
25,1,1,5,0,13,10,10,10,3,
25,20,5,11,0,12,12,12,12,0,
25,2,2,9,0,11,13,13,13,-2,
25,5,1,3,5,10,4,4,4,1,
