DriverId,DriverName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
822,Valtteri Bottas,"3,5,-1,0,-4,6,-6,3,2,0,-2,0,3,0,-2,1,0,1,2,2,1,0,-3,0,0,1,0,-1,5,1,0,2,0,0,1,2,1,0,1,0,-2,2,0,2,-8,2,1,0,0,-3,-1,-5,0,0,2,1,-1,-2,0,0,0,-2,0,1,-1,2,0,-1,-2,0,",-8,6,-1,0,1,0,2.2360679774997898
823,Giedo van der Garde,"2,3,2,-1,-7,0,2,0,1,3,-1,3,",-7,3,0,2,3,0,2.6457513110645907
824,Jules Bianchi,"2,-1,2,3,-1,1,5,-2,-2,1,-2,0,0,-5,-5,2,1,1,0,2,1,0,",-5,5,-1,1,1,0,2.2360679774997898
825,Kevin Magnussen,"1,-7,0,7,2,-1,2,3,1,2,-1,2,5,2,0,3,-17,4,1,1,2,-1,2,3,3,-1,-1,3,0,1,0,-1,2,1,2,0,2,",-17,7,0,1,2,0,3.7416573867739413
826,Daniil Kvyat,"-1,-1,-2,-1,-3,-1,2,0,-7,0,-5,2,2,1,-2,0,1,1,0,0,-6,3,-12,2,-8,2,-1,1,5,2,1,2,-3,2,3,5,0,1,0,4,2,1,0,2,-4,",-12,5,-1,0,2,-1,3.3166247903553998
828,Marcus Ericsson,"2,5,4,1,4,0,-3,1,2,1,4,2,0,2,3,3,3,2,1,-1,0,3,4,3,-2,0,3,0,-3,-1,1,4,1,-6,6,-5,4,1,1,-6,0,-3,1,3,",-6,6,0,1,3,1,2.6457513110645907
829,Will Stevens,"-1,-1,2,-2,4,0,-3,-2,-1,-1,3,-1,",-3,4,-1,-1,2,-1,2.0
830,Max Verstappen,"1,0,-3,-2,1,1,0,2,0,2,2,0,1,2,-4,0,1,6,-14,1,-4,5,2,-3,9,-1,0,0,3,1,2,2,0,1,1,1,",-14,9,0,1,2,0,3.4641016151377544
831,Felipe Nasr,"4,1,3,0,2,1,4,2,-1,-4,0,-1,1,-2,-2,-1,1,-6,1,1,0,3,0,2,",-6,4,-1,1,2,0,2.2360679774997898
832,Carlos Sainz,"2,0,0,4,5,-2,5,3,-17,0,0,-3,4,0,2,-1,3,-3,6,1,2,0,2,-7,1,-1,0,2,1,-1,5,",-17,6,-1,1,2,0,4.1231056256176606
833,Roberto Merhi,"1,1,1,1,4,2,0,-3,1,1,",-3,4,1,1,1,0,1.7320508075688772
834,Alexander Rossi,"0,2,1,",0,2,0,1,0,1,0.0
835,Jolyon Palmer,"0,5,-2,-2,2,3,0,1,0,1,-1,4,1,3,1,0,4,2,3,4,",-2,5,0,1,3,1,2.0
836,Pascal Wehrlein,"7,6,1,2,-4,3,3,1,0,2,0,-2,3,0,-8,6,1,1,0,-2,-4,0,3,",-8,7,0,1,2,0,3.3166247903553998
837,Rio Haryanto,"2,2,1,-2,-3,0,2,0,",-3,2,0,1,2,0,1.7320508075688772
838,Stoffel Vandoorne,"2,2,-1,5,-1,-1,2,-9,6,-1,",-9,6,-1,2,2,0,3.872983346207417
839,Esteban Ocon,"0,10,-1,4,4,0,1,1,1,4,0,1,1,3,1,0,1,3,3,1,",-1,10,1,1,3,1,2.4494897427831779
840,Lance Stroll,"5,5,0,2,3,2,0,-1,3,1,7,",-1,7,0,2,3,2,2.2360679774997898
841,Antonio Giovinazzi,"-1,",-1,-1,-1,-1,-1,-1,0.0
842,Pierre Gasly,"-1,9,2,1,",-1,9,1,2,9,2,3.7416573867739413
