DriverID,Points,ConstructorID,ConstructorName,TotalPoints,NumberOfDrivers,AveragePoints,NumberOfCollaborations
27,4.0,18,Minardi,4.0,672,1.3333333333333333,1
28,0.0,12,Spyker,0.0,34,0.0,1
29,0.0,8,Super Aguri,0.0,78,0.0,1
29,0.0,12,Spyker,0.0,34,0.0,1
29,0.0,164,HRT,0.0,116,0.0,1
30,1066.0,6,Ferrari,1566.0,2140,82.42105263157895,11
30,0.0,17,Jordan,1566.0,500,82.42105263157895,1
30,303.0,22,Benetton,1566.0,520,82.42105263157895,5
30,197.0,131,Mercedes,1566.0,354,82.42105263157895,3
31,86.0,1,McLaren,307.0,1625,51.166666666666664,2
31,221.0,3,Williams,307.0,1379,51.166666666666664,4
32,11.0,9,Red Bull,14.0,490,3.5,2
32,3.0,19,Jaguar,14.0,170,3.5,1
32,0.0,164,HRT,14.0,116,3.5,1
33,0.0,13,MF1,7.0,28,3.5,1
33,0.0,14,Spyker MF1,7.0,8,3.5,1
33,7.0,17,Jordan,7.0,500,3.5,1
34,0.0,8,Super Aguri,0.0,78,0.0,1
35,7.0,2,BMW Sauber,235.0,140,21.363636363636363,1
35,180.0,3,Williams,235.0,1379,21.363636363636363,3
35,0.0,4,Renault,235.0,669,21.363636363636363,1
35,9.0,15,Sauber,235.0,747,21.363636363636363,1
35,39.0,16,BAR,235.0,236,21.363636363636363,5
36,0.0,8,Super Aguri,0.0,78,0.0,1
37,23.0,1,McLaren,35.0,1625,3.888888888888889,2
37,6.0,15,Sauber,35.0,747,3.888888888888889,2
37,3.0,19,Jaguar,35.0,170,3.888888888888889,2
37,3.0,21,Arrows,35.0,590,3.888888888888889,2
37,0.0,164,HRT,35.0,116,3.888888888888889,1
38,0.0,9,Red Bull,0.0,490,0.0,1
38,0.0,18,Minardi,0.0,672,0.0,1
39,5.0,17,Jordan,5.0,500,1.6666666666666667,1
39,0.0,164,HRT,5.0,116,1.6666666666666667,2
40,3.0,18,Minardi,3.0,672,3.0,1
41,0.0,7,Toyota,3.0,280,0.6,2
41,3.0,16,BAR,3.0,236,0.6,2
41,0.0,17,Jordan,3.0,500,0.6,1
42,8.0,3,Williams,8.0,1379,2.6666666666666665,2
42,0.0,19,Jaguar,8.0,170,2.6666666666666665,1
43,13.0,7,Toyota,13.0,280,6.5,2
44,12.0,7,Toyota,76.0,280,7.6,2
44,8.0,16,BAR,76.0,236,7.6,2
44,18.0,20,Prost,76.0,165,7.6,3
44,38.0,27,Ligier,76.0,611,7.6,3
45,0.0,17,Jordan,0.0,500,0.0,1
46,0.0,18,Minardi,0.0,672,0.0,1
47,0.0,17,Jordan,1.0,500,0.5,1
47,1.0,18,Minardi,1.0,672,0.5,1
48,4.0,3,Williams,5.0,1379,1.25,2
48,1.0,18,Minardi,5.0,672,1.25,2
49,59.0,3,Williams,174.0,1379,17.4,2
49,42.0,15,Sauber,174.0,747,17.4,5
49,71.0,17,Jordan,174.0,500,17.4,3
49,0.0,20,Prost,174.0,165,17.4,1
49,2.0,21,Arrows,174.0,590,17.4,1
50,0.0,18,Minardi,17.0,672,2.125,1
50,6.0,21,Arrows,17.0,590,2.125,2
50,10.0,22,Benetton,17.0,520,2.125,1
50,0.0,24,Stewart,17.0,98,2.125,1
50,0.0,25,Tyrrell,17.0,881,2.125,1
50,1.0,29,Footwork,17.0,194,2.125,1
50,0.0,31,Simtek,17.0,40,2.125,1
51,0.0,18,Minardi,1.0,672,1.0,1
51,1.0,19,Jaguar,1.0,170,1.0,1
52,1.0,17,Jordan,1.0,500,1.0,1
53,0.0,18,Minardi,0.0,672,0.0,1
54,0.0,19,Jaguar,0.0,170,0.0,2
54,0.0,20,Prost,0.0,165,0.0,1
55,121.0,6,Ferrari,241.0,2140,18.53846153846154,5
55,11.0,15,Sauber,241.0,747,18.53846153846154,2
55,1.0,17,Jordan,241.0,500,18.53846153846154,1
55,4.0,20,Prost,241.0,165,18.53846153846154,2
55,83.0,22,Benetton,241.0,520,18.53846153846154,2
55,21.0,25,Tyrrell,241.0,881,18.53846153846154,2
56,156.0,6,Ferrari,191.0,2140,19.1,4
56,17.0,17,Jordan,191.0,500,19.1,3
56,18.0,19,Jaguar,191.0,170,19.1,3
57,407.0,1,McLaren,420.0,1625,38.18181818181818,9
57,13.0,32,Team Lotus,420.0,871,38.18181818181818,2
58,0.0,18,Minardi,0.0,672,0.0,3
59,0.0,21,Arrows,0.0,590,0.0,2
60,0.0,18,Minardi,0.0,672,0.0,1
60,0.0,20,Prost,0.0,165,0.0,1
61,0.0,20,Prost,0.0,165,0.0,1
62,0.0,18,Minardi,0.0,672,0.0,2
63,10.0,6,Ferrari,33.0,2140,4.125,1
63,2.0,7,Toyota,33.0,280,4.125,1
63,6.0,15,Sauber,33.0,747,4.125,1
63,0.0,16,BAR,33.0,236,4.125,1
63,3.0,21,Arrows,33.0,590,4.125,1
63,12.0,25,Tyrrell,33.0,881,4.125,3
63,0.0,32,Team Lotus,33.0,871,4.125,1
64,3.0,15,Sauber,10.0,747,1.6666666666666667,2
64,5.0,21,Arrows,10.0,590,1.6666666666666667,2
64,2.0,27,Ligier,10.0,611,1.6666666666666667,1
64,0.0,28,Forti,10.0,54,1.6666666666666667,1
65,20.0,15,Sauber,98.0,747,8.166666666666666,3
65,0.0,19,Jaguar,98.0,170,8.166666666666666,1
65,50.0,22,Benetton,98.0,520,8.166666666666666,3
65,15.0,24,Stewart,98.0,98,8.166666666666666,1
65,0.0,25,Tyrrell,98.0,881,8.166666666666666,1
65,0.0,27,Ligier,98.0,611,8.166666666666666,1
65,13.0,32,Team Lotus,98.0,871,8.166666666666666,5
66,0.0,7,Toyota,0.0,280,0.0,1
67,29.0,5,Toro Rosso,29.0,452,9.666666666666666,3
68,0.0,21,Arrows,0.0,590,0.0,1
68,0.0,25,Tyrrell,0.0,881,0.0,1
69,0.0,6,Ferrari,0.0,2140,0.0,1
69,0.0,18,Minardi,0.0,672,0.0,2
69,0.0,26,Lola,0.0,165,0.0,1
69,0.0,28,Forti,0.0,54,0.0,1
70,0.0,3,Williams,1.0,1379,0.2,1
70,0.0,17,Jordan,1.0,500,0.2,1
70,0.0,18,Minardi,1.0,672,0.2,1
70,1.0,32,Team Lotus,1.0,871,0.2,2
71,326.0,3,Williams,360.0,1379,45.0,4
71,27.0,17,Jordan,360.0,500,45.0,2
71,7.0,21,Arrows,360.0,590,45.0,1
71,0.0,34,Brabham,360.0,662,45.0,1
72,0.0,18,Minardi,0.0,672,0.0,1
73,0.0,25,Tyrrell,0.0,881,0.0,1
73,0.0,26,Lola,0.0,165,0.0,1
73,0.0,29,Footwork,0.0,194,0.0,1
74,0.0,18,Minardi,0.0,672,0.0,1
75,0.0,18,Minardi,2.0,672,1.0,1
75,2.0,20,Prost,2.0,165,1.0,1
76,0.0,1,McLaren,1.0,1625,0.3333333333333333,1
76,1.0,24,Stewart,1.0,98,0.3333333333333333,2
77,135.0,1,McLaren,385.0,1625,27.5,3
77,182.0,6,Ferrari,385.0,2140,27.5,6
77,3.0,21,Arrows,385.0,590,27.5,1
77,65.0,22,Benetton,385.0,520,27.5,3
77,0.0,54,ATS,385.0,162,27.5,1
78,6.0,6,Ferrari,7.0,2140,0.875,2
78,1.0,15,Sauber,7.0,747,0.875,1
78,0.0,27,Ligier,7.0,611,0.875,1
78,0.0,40,Lambo,7.0,32,0.875,1
78,0.0,42,Coloni,7.0,81,0.875,1
78,0.0,45,Osella,7.0,252,0.875,2
79,0.0,18,Minardi,5.0,672,0.8333333333333334,1
79,5.0,25,Tyrrell,5.0,881,0.8333333333333334,4
79,0.0,33,Larrousse,5.0,216,0.8333333333333334,1
80,0.0,26,Lola,0.0,165,0.0,1
81,0.5,6,Ferrari,8.5,2140,1.4166666666666667,1
81,0.0,15,Sauber,8.5,747,1.4166666666666667,1
81,0.0,18,Minardi,8.5,672,1.4166666666666667,3
81,8.0,29,Footwork,8.5,194,1.4166666666666667,2
81,0.0,35,Dallara,8.5,144,1.4166666666666667,1
82,0.0,15,Sauber,0.0,747,0.0,1
83,1.0,18,Minardi,1.0,672,0.25,2
83,0.0,32,Team Lotus,1.0,871,0.25,2
84,16.0,1,McLaren,98.0,1625,8.166666666666666,1
84,0.0,3,Williams,98.0,1379,8.166666666666666,1
84,8.0,17,Jordan,98.0,500,8.166666666666666,1
84,38.0,22,Benetton,98.0,520,8.166666666666666,1
84,8.0,25,Tyrrell,98.0,881,8.166666666666666,3
84,20.0,27,Ligier,98.0,611,8.166666666666666,2
84,6.0,34,Brabham,98.0,662,8.166666666666666,2
84,2.0,49,Zakspeed,98.0,133,8.166666666666666,1
85,0.0,28,Forti,0.0,54,0.0,1
85,0.0,30,Pacific,0.0,66,0.0,1
85,0.0,31,Simtek,0.0,40,0.0,1
86,0.0,18,Minardi,0.0,672,0.0,1
86,0.0,30,Pacific,0.0,66,0.0,1
87,13.0,1,McLaren,32.0,1625,8.0,1
87,8.0,25,Tyrrell,32.0,881,8.0,1
87,10.0,27,Ligier,32.0,611,8.0,1
87,1.0,34,Brabham,32.0,662,8.0,1
88,0.0,17,Jordan,8.0,500,1.0,1
88,0.0,26,Lola,8.0,165,1.0,1
88,1.0,27,Ligier,8.0,611,1.0,1
88,0.0,29,Footwork,8.0,194,1.0,2
88,7.0,33,Larrousse,8.0,216,1.0,3
88,0.0,49,Zakspeed,8.0,133,1.0,1
89,0.0,29,Footwork,0.0,194,0.0,1
89,0.0,31,Simtek,0.0,40,0.0,1
90,0.0,17,Jordan,15.0,500,2.142857142857143,1
90,0.0,18,Minardi,15.0,672,2.142857142857143,1
90,14.0,22,Benetton,15.0,520,2.142857142857143,2
90,0.0,28,Forti,15.0,54,2.142857142857143,1
90,0.0,32,Team Lotus,15.0,871,2.142857142857143,1
90,0.0,38,Andrea Moda,15.0,15,2.142857142857143,1
90,1.0,39,AGS,15.0,123,2.142857142857143,1
90,0.0,42,Coloni,15.0,81,2.142857142857143,1
90,0.0,44,Euro Brun,15.0,76,2.142857142857143,1
91,11.0,15,Sauber,14.0,747,2.8,3
91,3.0,37,March,14.0,524,2.8,1
91,0.0,41,Leyton House,14.0,64,2.8,1
92,4.0,17,Jordan,5.0,500,0.8333333333333334,1
92,0.0,30,Pacific,5.0,66,0.8333333333333334,2
92,1.0,33,Larrousse,5.0,216,0.8333333333333334,2
92,0.0,42,Coloni,5.0,81,0.8333333333333334,1
92,0.0,46,Onyx,5.0,52,0.8333333333333334,1
92,0.0,48,Rial,5.0,48,0.8333333333333334,1
93,0.0,31,Simtek,0.0,40,0.0,2
94,16.0,18,Minardi,18.0,672,1.8,8
94,2.0,35,Dallara,18.0,144,1.8,1
94,0.0,53,Toleman,18.0,131,1.8,1
95,0.0,1,McLaren,482.0,1625,32.13333333333333,1
95,369.0,3,Williams,482.0,1379,32.13333333333333,7
95,75.0,6,Ferrari,482.0,2140,32.13333333333333,2
95,38.0,32,Team Lotus,482.0,871,32.13333333333333,5
96,3.0,15,Sauber,3.0,747,3.0,1
97,0.0,29,Footwork,0.0,194,0.0,1
98,0.0,30,Pacific,0.0,66,0.0,1
98,0.0,33,Larrousse,0.0,216,0.0,1
99,0.0,25,Tyrrell,1.0,881,0.14285714285714285,1
99,0.0,36,Fondmetal,1.0,42,0.14285714285714285,2
99,1.0,39,AGS,1.0,123,0.14285714285714285,3
99,0.0,42,Coloni,1.0,81,0.14285714285714285,1
99,0.0,45,Osella,1.0,252,0.14285714285714285,1
100,4.0,27,Ligier,7.0,611,1.75,2
100,3.0,33,Larrousse,7.0,216,1.75,2
101,0.0,31,Simtek,0.0,40,0.0,1
101,0.0,34,Brabham,0.0,662,0.0,1
102,451.0,1,McLaren,614.0,1625,55.81818181818182,6
102,0.0,3,Williams,614.0,1379,55.81818181818182,1
102,150.0,32,Team Lotus,614.0,871,55.81818181818182,3
102,13.0,53,Toleman,614.0,131,55.81818181818182,1
103,1.0,26,Lola,10.0,165,2.5,1
103,4.0,27,Ligier,10.0,611,2.5,1
103,0.0,32,Team Lotus,10.0,871,2.5,1
103,5.0,33,Larrousse,10.0,216,2.5,3
104,6.0,18,Minardi,12.0,672,4.0,2
104,6.0,29,Footwork,12.0,194,4.0,1
105,138.5,6,Ferrari,186.5,2140,13.321428571428571,5
105,1.0,18,Minardi,186.5,672,13.321428571428571,1
105,0.0,21,Arrows,186.5,590,13.321428571428571,1
105,41.0,25,Tyrrell,186.5,881,13.321428571428571,4
105,0.0,26,Lola,186.5,165,13.321428571428571,1
105,6.0,29,Footwork,186.5,194,13.321428571428571,2
105,0.0,33,Larrousse,186.5,216,13.321428571428571,1
106,0.0,33,Larrousse,0.0,216,0.0,1
107,0.0,31,Simtek,0.0,40,0.0,1
108,0.0,30,Pacific,0.0,66,0.0,1
108,0.0,37,March,0.0,524,0.0,1
109,5.0,15,Sauber,10.0,747,1.6666666666666667,2
109,1.0,22,Benetton,10.0,520,1.6666666666666667,1
109,4.0,35,Dallara,10.0,144,1.6666666666666667,2
109,0.0,46,Onyx,10.0,52,1.6666666666666667,2
110,1.0,1,McLaren,59.0,1625,3.933333333333333,1
110,1.0,15,Sauber,59.0,747,3.933333333333333,1
110,12.0,17,Jordan,59.0,500,3.933333333333333,2
110,0.0,18,Minardi,59.0,672,3.933333333333333,1
110,8.0,25,Tyrrell,59.0,881,3.933333333333333,2
110,6.0,27,Ligier,59.0,611,3.933333333333333,2
110,4.0,34,Brabham,59.0,662,3.933333333333333,1
110,4.0,35,Dallara,59.0,144,3.933333333333333,2
110,3.0,48,Rial,59.0,48,3.933333333333333,1
110,20.0,51,Alfa Romeo,59.0,244,3.933333333333333,3
111,0.0,18,Minardi,0.0,672,0.0,1
111,0.0,31,Simtek,0.0,40,0.0,1
112,0.0,1,McLaren,7.0,1625,0.7777777777777778,1
112,1.0,27,Ligier,7.0,611,0.7777777777777778,2
112,6.0,33,Larrousse,7.0,216,0.7777777777777778,5
112,0.0,50,RAM,7.0,71,0.7777777777777778,2
113,0.0,32,Team Lotus,0.0,871,0.0,1
114,0.0,33,Larrousse,0.0,216,0.0,4
114,0.0,39,AGS,0.0,123,0.0,2
115,0.0,33,Larrousse,0.0,216,0.0,1
116,0.0,27,Ligier,0.0,611,0.0,1
117,458.5,1,McLaren,798.5,1625,61.42307692307692,7
117,99.0,3,Williams,798.5,1379,61.42307692307692,1
117,134.0,4,Renault,798.5,669,61.42307692307692,3
117,107.0,6,Ferrari,798.5,2140,61.42307692307692,2
118,28.0,4,Renault,71.0,669,6.454545454545454,2
118,27.0,21,Arrows,71.0,590,6.454545454545454,3
118,4.0,29,Footwork,71.0,194,6.454545454545454,1
118,3.0,32,Team Lotus,71.0,871,6.454545454545454,1
118,0.0,34,Brabham,71.0,662,6.454545454545454,1
118,9.0,53,Toleman,71.0,131,6.454545454545454,3
119,180.0,3,Williams,281.0,1379,16.529411764705884,6
119,30.0,21,Arrows,281.0,590,16.529411764705884,4
119,20.0,22,Benetton,281.0,520,16.529411764705884,1
119,42.0,34,Brabham,281.0,662,16.529411764705884,4
119,8.0,51,Alfa Romeo,281.0,244,16.529411764705884,2
119,1.0,58,Shadow,281.0,211,16.529411764705884,1
120,2.0,18,Minardi,2.0,672,1.0,1
120,0.0,39,AGS,2.0,123,1.0,1
121,7.0,1,McLaren,7.0,1625,7.0,1
122,3.0,6,Ferrari,31.0,2140,3.4444444444444446,1
122,0.0,17,Jordan,31.0,500,3.4444444444444446,1
122,3.0,25,Tyrrell,31.0,881,3.4444444444444446,1
122,18.0,37,March,31.0,524,3.4444444444444446,3
122,0.0,39,AGS,31.0,123,3.4444444444444446,1
122,7.0,41,Leyton House,31.0,64,3.4444444444444446,2
123,71.0,3,Williams,132.0,1379,12.0,2
123,0.0,17,Jordan,132.0,500,12.0,1
123,16.0,21,Arrows,132.0,590,12.0,4
123,43.0,22,Benetton,132.0,520,12.0,2
123,2.0,27,Ligier,132.0,611,12.0,2
124,0.0,17,Jordan,0.0,500,0.0,1
125,0.0,17,Jordan,0.0,500,0.0,1
125,0.0,37,March,0.0,524,0.0,1
126,0.0,33,Larrousse,0.0,216,0.0,1
127,0.0,17,Jordan,10.0,500,2.0,1
127,9.0,37,March,10.0,524,2.0,2
127,1.0,41,Leyton House,10.0,64,2.0,2
128,0.0,34,Brabham,0.0,662,0.0,1
128,0.0,36,Fondmetal,0.0,42,0.0,1
128,0.0,40,Lambo,0.0,32,0.0,1
129,0.0,25,Tyrrell,1.0,881,0.25,1
129,1.0,27,Ligier,1.0,611,0.25,1
129,0.0,36,Fondmetal,1.0,42,0.25,1
129,0.0,39,AGS,1.0,123,0.25,1
129,0.0,45,Osella,1.0,252,0.25,1
130,0.0,36,Fondmetal,0.0,42,0.0,1
131,1.0,17,Jordan,17.0,500,2.8333333333333335,1
131,10.0,25,Tyrrell,17.0,881,2.8333333333333335,1
131,6.0,34,Brabham,17.0,662,2.8333333333333335,3
131,0.0,44,Euro Brun,17.0,76,2.8333333333333335,1
132,0.0,34,Brabham,0.0,662,0.0,1
133,2.0,21,Arrows,6.0,590,1.0,1
133,0.0,29,Footwork,6.0,194,1.0,1
133,4.0,35,Dallara,6.0,144,1.0,2
133,0.0,45,Osella,6.0,252,1.0,2
134,0.0,42,Coloni,0.0,81,0.0,1
135,0.0,38,Andrea Moda,0.0,15,0.0,1
136,0.0,37,March,0.0,524,0.0,1
136,0.0,54,ATS,0.0,162,0.0,2
136,0.0,55,Theodore,0.0,64,0.0,1
136,0.0,57,Ensign,0.0,154,0.0,1
136,0.0,58,Shadow,0.0,211,0.0,1
137,0.0,1,McLaren,485.5,1625,34.67857142857143,1
137,145.0,3,Williams,485.5,1379,34.67857142857143,2
137,70.5,22,Benetton,485.5,520,34.67857142857143,2
137,34.0,32,Team Lotus,485.5,871,34.67857142857143,2
137,233.0,34,Brabham,485.5,662,34.67857142857143,7
137,0.0,57,Ensign,485.5,154,34.67857142857143,1
137,0.0,182,Brabham-Ford,485.5,58,34.67857142857143,1
137,3.0,204,Brabham-Alfa Romeo,485.5,59,34.67857142857143,1
138,5.0,25,Tyrrell,16.0,881,3.2,2
138,11.0,32,Team Lotus,16.0,871,3.2,3
139,2.0,22,Benetton,3.0,520,1.0,1
139,1.0,35,Dallara,3.0,144,1.0,2
140,30.0,1,McLaren,88.0,1625,8.8,1
140,49.0,6,Ferrari,88.0,2140,8.8,2
140,0.0,25,Tyrrell,88.0,881,8.8,2
140,0.0,27,Ligier,88.0,611,8.8,1
140,0.0,29,Footwork,88.0,194,8.8,1
140,0.0,39,AGS,88.0,123,8.8,1
140,6.0,46,Onyx,88.0,52,8.8,2
140,0.0,52,Spirit,88.0,25,8.8,1
140,3.0,53,Toleman,88.0,131,8.8,1
140,0.0,58,Shadow,88.0,211,8.8,1
141,0.0,25,Tyrrell,1.0,881,0.5,1
141,1.0,32,Team Lotus,1.0,871,0.5,1
142,0.0,42,Coloni,0.0,81,0.0,1
143,0.0,32,Team Lotus,0.0,871,0.0,1
144,0.0,42,Coloni,0.0,81,0.0,1
145,0.0,18,Minardi,65.0,672,13.0,2
145,65.0,22,Benetton,65.0,520,13.0,3
146,0.0,21,Arrows,0.0,590,0.0,1
146,0.0,49,Zakspeed,0.0,133,0.0,2
147,0.0,18,Minardi,0.0,672,0.0,2
148,0.0,34,Brabham,0.0,662,0.0,1
148,0.0,44,Euro Brun,0.0,76,0.0,1
148,0.0,46,Onyx,0.0,52,0.0,1
148,0.0,48,Rial,0.0,48,0.0,1
149,0.0,44,Euro Brun,0.0,76,0.0,1
150,0.0,47,Life,0.0,14,0.0,1
151,0.0,21,Arrows,0.0,590,0.0,1
151,0.0,32,Team Lotus,0.0,871,0.0,1
152,0.0,1,McLaren,14.0,1625,1.75,2
152,0.0,47,Life,14.0,14,1.75,1
152,13.0,51,Alfa Romeo,14.0,244,1.75,4
152,1.0,53,Toleman,14.0,131,1.75,1
153,31.0,5,Toro Rosso,31.0,452,10.333333333333334,3
154,0.0,4,Renault,344.0,669,49.142857142857146,1
154,287.0,208,Lotus F1,344.0,154,49.142857142857146,4
154,57.0,210,Haas F1 Team,344.0,82,49.142857142857146,2
155,3.0,7,Toyota,125.0,280,25.0,1
155,122.0,15,Sauber,125.0,747,25.0,3
155,0.0,207,Caterham,125.0,112,25.0,1
156,0.0,3,Williams,14.0,1379,2.0,1
156,14.0,25,Tyrrell,14.0,881,2.0,3
156,0.0,49,Zakspeed,14.0,133,2.0,2
156,0.0,50,RAM,14.0,71,2.0,1
157,1.0,21,Arrows,4.0,590,1.0,1
157,0.0,45,Osella,4.0,252,1.0,1
157,3.0,48,Rial,4.0,48,1.0,1
157,0.0,49,Zakspeed,4.0,133,1.0,2
158,22.0,4,Renault,70.0,669,6.363636363636363,1
158,20.0,21,Arrows,70.0,590,6.363636363636363,3
158,10.0,25,Tyrrell,70.0,881,6.363636363636363,1
158,0.0,26,Lola,70.0,165,6.363636363636363,1
158,15.0,27,Ligier,70.0,611,6.363636363636363,1
158,0.0,45,Osella,70.0,252,6.363636363636363,1
158,3.0,51,Alfa Romeo,70.0,244,6.363636363636363,2
158,0.0,55,Theodore,70.0,64,6.363636363636363,1
158,0.0,64,Hesketh,70.0,97,6.363636363636363,1
159,1.0,18,Minardi,1.0,672,0.5,2
160,0.0,27,Ligier,2.0,611,0.25,1
160,2.0,45,Osella,2.0,252,0.25,6
160,0.0,49,Zakspeed,2.0,133,0.25,1
160,0.0,53,Toleman,2.0,131,0.25,1
161,0.0,48,Rial,0.0,48,0.0,1
162,0.0,33,Larrousse,0.0,216,0.0,1
162,0.0,42,Coloni,0.0,81,0.0,1
162,0.0,48,Rial,0.0,48,0.0,1
163,85.0,4,Renault,181.0,669,15.083333333333334,4
163,79.0,6,Ferrari,181.0,2140,15.083333333333334,3
163,17.0,27,Ligier,181.0,611,15.083333333333334,4
163,0.0,63,Surtees,181.0,260,15.083333333333334,1
163,0.0,65,Martini,181.0,8,15.083333333333334,1
164,0.0,39,AGS,0.0,123,0.0,1
165,0.0,44,Euro Brun,0.0,76,0.0,2
166,0.0,4,Renault,11.0,669,2.2,1
166,7.0,25,Tyrrell,11.0,881,2.2,3
